latitude,longitude,ambient_temp_c,wind_speed_ms,wind_direction_deg,ghi_kwh_m2_day,warm_humidity_pct,hot_air_index,rain_last_7days_mm,shelter_material_and_design
33.436,77.1814,-9.6,2.4,52,5.88,34.2,Very Low,2.0,"{""material_class"": 0, ""wwr"": 0.18, ""wall_thickness_cm"": 50, ""glazing_ratio"": 0.72, ""insulation_r_value"": 5.2}"
35.3374,76.9981,7.0,3.7,274,6.77,22.0,Low,9.0,"{""material_class"": 3, ""wwr"": 0.22, ""wall_thickness_cm"": 42, ""glazing_ratio"": 0.58, ""insulation_r_value"": 3.8}"
34.6156,76.2927,15.7,1.4,48,6.46,46.1,Moderate,1.4,"{""material_class"": 4, ""wwr"": 0.2, ""wall_thickness_cm"": 40, ""glazing_ratio"": 0.5, ""insulation_r_value"": 3.5}"
34.1756,78.2327,-14.7,7.3,16,6.37,31.7,Extreme Freeze,3.2,"{""material_class"": 0, ""wwr"": 0.18, ""wall_thickness_cm"": 50, ""glazing_ratio"": 0.72, ""insulation_r_value"": 5.2}"
32.7149,77.6448,20.5,3.2,126,7.14,37.6,Moderate,4.3,"{""material_class"": 4, ""wwr"": 0.2, ""wall_thickness_cm"": 40, ""glazing_ratio"": 0.5, ""insulation_r_value"": 3.5}"
32.7148,79.3957,-1.5,0.5,154,5.53,29.0,Very Low,0.2,"{""material_class"": 2, ""wwr"": 0.2, ""wall_thickness_cm"": 45, ""glazing_ratio"": 0.65, ""insulation_r_value"": 4.4}"
32.3917,75.6445,-11.7,12.4,274,5.57,52.3,Very Low,11.7,"{""material_class"": 0, ""wwr"": 0.18, ""wall_thickness_cm"": 50, ""glazing_ratio"": 0.72, ""insulation_r_value"": 5.2}"
35.0584,78.3974,9.1,3.3,234,6.48,47.3,Low,3.6,"{""material_class"": 3, ""wwr"": 0.22, ""wall_thickness_cm"": 42, ""glazing_ratio"": 0.58, ""insulation_r_value"": 3.8}"
34.1837,78.9333,-5.4,3.3,285,5.29,35.6,Very Low,1.1,"{""material_class"": 0, ""wwr"": 0.18, ""wall_thickness_cm"": 50, ""glazing_ratio"": 0.72, ""insulation_r_value"": 5.2}"
34.5366,78.9177,-1.0,10.0,77,6.08,22.8,Very Low,0.9,"{""material_class"": 2, ""wwr"": 0.2, ""wall_thickness_cm"": 45, ""glazing_ratio"": 0.65, ""insulation_r_value"": 4.4}"
32.2679,79.4873,-4.9,1.4,173,4.83,42.4,Very Low,5.8,"{""material_class"": 2, ""wwr"": 0.2, ""wall_thickness_cm"": 45, ""glazing_ratio"": 0.65, ""insulation_r_value"": 4.4}"
35.4007,78.7807,-9.8,8.4,105,2.76,45.8,Very Low,0.4,"{""material_class"": 0, ""wwr"": 0.18, ""wall_thickness_cm"": 50, ""glazing_ratio"": 0.72, ""insulation_r_value"": 5.2}"
34.9471,79.6751,8.7,3.2,319,6.22,25.7,Low,2.9,"{""material_class"": 3, ""wwr"": 0.22, ""wall_thickness_cm"": 42, ""glazing_ratio"": 0.58, ""insulation_r_value"": 3.8}"
32.9007,76.997,-3.4,1.0,31,3.64,33.6,Very Low,3.9,"{""material_class"": 2, ""wwr"": 0.2, ""wall_thickness_cm"": 45, ""glazing_ratio"": 0.65, ""insulation_r_value"": 4.4}"
32.8,77.7644,-17.2,10.1,291,4.66,35.8,Extreme Freeze,1.3,"{""material_class"": 1, ""wwr"": 0.15, ""wall_thickness_cm"": 55, ""glazing_ratio"": 0.78, ""insulation_r_value"": 6.2}"
32.8052,75.5634,6.6,7.8,9,6.48,45.9,Low,0.7,"{""material_class"": 3, ""wwr"": 0.22, ""wall_thickness_cm"": 42, ""glazing_ratio"": 0.58, ""insulation_r_value"": 3.8}"
33.204,75.5313,-14.5,7.8,314,6.5,33.5,Extreme Freeze,3.4,"{""material_class"": 0, ""wwr"": 0.18, ""wall_thickness_cm"": 50, ""glazing_ratio"": 0.72, ""insulation_r_value"": 5.2}"
33.9317,76.5806,-13.8,6.1,101,6.91,44.6,Extreme Freeze,2.1,"{""material_class"": 0, ""wwr"": 0.18, ""wall_thickness_cm"": 50, ""glazing_ratio"": 0.72, ""insulation_r_value"": 5.2}"
33.6254,75.9536,14.3,6.8,117,3.08,27.3,Low,0.8,"{""material_class"": 3, ""wwr"": 0.22, ""wall_thickness_cm"": 42, ""glazing_ratio"": 0.58, ""insulation_r_value"": 3.8}"
33.1611,76.671,-14.4,1.3,156,5.86,24.4,Extreme Freeze,1.2,"{""material_class"": 0, ""wwr"": 0.18, ""wall_thickness_cm"": 50, ""glazing_ratio"": 0.72, ""insulation_r_value"": 5.2}"
34.2191,76.2967,-27.8,5.3,266,5.19,53.3,Extreme Freeze,3.2,"{""material_class"": 1, ""wwr"": 0.15, ""wall_thickness_cm"": 55, ""glazing_ratio"": 0.78, ""insulation_r_value"": 6.2}"
32.6603,75.6283,7.5,2.2,244,6.69,21.9,Low,0.7,"{""material_class"": 3, ""wwr"": 0.22, ""wall_thickness_cm"": 42, ""glazing_ratio"": 0.58, ""insulation_r_value"": 3.8}"
33.1641,79.5919,-3.6,0.8,78,7.27,27.5,Very Low,13.8,"{""material_class"": 2, ""wwr"": 0.2, ""wall_thickness_cm"": 45, ""glazing_ratio"": 0.65, ""insulation_r_value"": 4.4}"
33.409,75.537,-2.6,6.2,159,3.93,42.8,Very Low,7.5,"{""material_class"": 2, ""wwr"": 0.2, ""wall_thickness_cm"": 45, ""glazing_ratio"": 0.65, ""insulation_r_value"": 4.4}"
33.705,78.8124,-3.8,8.5,90,5.52,29.7,Very Low,2.0,"{""material_class"": 2, ""wwr"": 0.2, ""wall_thickness_cm"": 45, ""glazing_ratio"": 0.65, ""insulation_r_value"": 4.4}"
34.7911,76.1847,2.8,3.8,357,6.5,29.4,Low,1.5,"{""material_class"": 2, ""wwr"": 0.2, ""wall_thickness_cm"": 45, ""glazing_ratio"": 0.65, ""insulation_r_value"": 4.4}"
32.8589,79.605,-9.0,4.4,128,5.09,33.0,Very Low,10.4,"{""material_class"": 0, ""wwr"": 0.18, ""wall_thickness_cm"": 50, ""glazing_ratio"": 0.72, ""insulation_r_value"": 5.2}"
