latitude,longitude,hour,shelter_volume_m3,wall_material,wall_thickness_cm,glazing_ratio,insulation_r_value,ghi_w_m2,ambient_temp_c,thermal_mass_kj_k,thermal_energy_kwh
33.8745,77.1851,0,115.4,Stone,27.9,0.26,3.07,0.0,-6.8355339059327385,57426.76,0.0
33.8745,77.1851,1,115.4,Stone,27.9,0.26,3.07,0.0,-7.630127018922193,57426.76,0.0
33.8745,77.1851,2,115.4,Stone,27.9,0.26,3.07,0.0,-8.129629131445341,57426.76,0.0
33.8745,77.1851,3,115.4,Stone,27.9,0.26,3.07,0.0,-8.3,57426.76,0.0
33.8745,77.1851,4,115.4,Stone,27.9,0.26,3.07,0.0,-8.129629131445341,57426.76,0.0
33.8745,77.1851,5,115.4,Stone,27.9,0.26,3.07,0.0,-7.6301270189221935,57426.76,0.0
33.8745,77.1851,6,115.4,Stone,27.9,0.26,3.07,2.3335644757752816e-14,-6.835533905932737,57426.76,7.096442047033547e-16
33.8745,77.1851,7,115.4,Stone,27.9,0.26,3.07,98.63593808857065,-5.799999999999999,57426.76,2.9995495117733184
33.8745,77.1851,8,115.4,Stone,27.9,0.26,3.07,190.55000000000004,-4.5940952255126035,57426.76,5.794684681309229
33.8745,77.1851,9,115.4,Stone,27.9,0.26,3.07,269.4783943101933,-3.2999999999999994,57426.76,8.194921665983127
33.8745,77.1851,10,115.4,Stone,27.9,0.26,3.07,330.0422813822496,-2.005904774487396,57426.76,10.036688281868651
33.8745,77.1851,11,115.4,Stone,27.9,0.26,3.07,368.11433239876396,-0.7999999999999994,57426.76,11.194471177756446
33.8745,77.1851,12,115.4,Stone,27.9,0.26,3.07,381.1,0.23553390593273793,57426.76,11.589369362618456
33.8745,77.1851,13,115.4,Stone,27.9,0.26,3.07,368.11433239876396,1.0301270189221938,57426.76,11.194471177756446
33.8745,77.1851,14,115.4,Stone,27.9,0.26,3.07,330.0422813822496,1.5296291314453416,57426.76,10.036688281868651
33.8745,77.1851,15,115.4,Stone,27.9,0.26,3.07,269.4783943101933,1.7000000000000002,57426.76,8.194921665983127
33.8745,77.1851,16,115.4,Stone,27.9,0.26,3.07,190.55000000000004,1.5296291314453416,57426.76,5.794684681309229
33.8745,77.1851,17,115.4,Stone,27.9,0.26,3.07,98.63593808857065,1.0301270189221938,57426.76,2.9995495117733184
33.8745,77.1851,18,115.4,Stone,27.9,0.26,3.07,2.3335644757752816e-14,0.23553390593273793,57426.76,7.096442047033547e-16
33.8745,77.1851,19,115.4,Stone,27.9,0.26,3.07,0.0,-0.7999999999999994,57426.76,0.0
33.8745,77.1851,20,115.4,Stone,27.9,0.26,3.07,0.0,-2.005904774487396,57426.76,0.0
33.8745,77.1851,21,115.4,Stone,27.9,0.26,3.07,0.0,-3.2999999999999994,57426.76,0.0
33.8745,77.1851,22,115.4,Stone,27.9,0.26,3.07,0.0,-4.5940952255126035,57426.76,0.0
33.8745,77.1851,23,115.4,Stone,27.9,0.26,3.07,0.0,-5.799999999999999,57426.76,0.0
34.4507,77.5419,0,111.7,Mud_Brick,51.1,0.23,1.2,0.0,4.764466094067262,82398.44,0.0
34.4507,77.5419,1,111.7,Mud_Brick,51.1,0.23,1.2,0.0,3.969872981077808,82398.44,0.0
34.4507,77.5419,2,111.7,Mud_Brick,51.1,0.23,1.2,0.0,3.4703708685546584,82398.44,0.0
34.4507,77.5419,3,111.7,Mud_Brick,51.1,0.23,1.2,0.0,3.3000000000000007,82398.44,0.0
34.4507,77.5419,4,111.7,Mud_Brick,51.1,0.23,1.2,0.0,3.47037086855466,82398.44,0.0
34.4507,77.5419,5,111.7,Mud_Brick,51.1,0.23,1.2,0.0,3.969872981077807,82398.44,0.0
34.4507,77.5419,6,111.7,Mud_Brick,51.1,0.23,1.2,1.666131970239974e-14,4.764466094067263,82398.44,4.212882669294254e-16
34.4507,77.5419,7,111.7,Mud_Brick,51.1,0.23,1.2,70.4246621723959,5.800000000000002,82398.44,1.780716318133291
34.4507,77.5419,8,111.7,Mud_Brick,51.1,0.23,1.2,136.05000000000004,7.005904774487396,82398.44,3.440079761958654
34.4507,77.5419,9,111.7,Mud_Brick,51.1,0.23,1.2,192.40375516085962,8.3,82398.44,4.865007455007136
34.4507,77.5419,10,111.7,Mud_Brick,51.1,0.23,1.2,235.6455123697458,9.594095225512604,82398.44,5.958392929801837
34.4507,77.5419,11,111.7,Mud_Brick,51.1,0.23,1.2,262.8284173332555,10.8,82398.44,6.6457237731404275
34.4507,77.5419,12,111.7,Mud_Brick,51.1,0.23,1.2,272.1,11.835533905932738,82398.44,6.880159523917306
34.4507,77.5419,13,111.7,Mud_Brick,51.1,0.23,1.2,262.8284173332555,12.630127018922195,82398.44,6.6457237731404275
34.4507,77.5419,14,111.7,Mud_Brick,51.1,0.23,1.2,235.6455123697458,13.129629131445341,82398.44,5.958392929801837
34.4507,77.5419,15,111.7,Mud_Brick,51.1,0.23,1.2,192.40375516085962,13.3,82398.44,4.865007455007136
34.4507,77.5419,16,111.7,Mud_Brick,51.1,0.23,1.2,136.05000000000004,13.129629131445341,82398.44,3.440079761958654
34.4507,77.5419,17,111.7,Mud_Brick,51.1,0.23,1.2,70.4246621723959,12.630127018922195,82398.44,1.780716318133291
34.4507,77.5419,18,111.7,Mud_Brick,51.1,0.23,1.2,1.666131970239974e-14,11.835533905932738,82398.44,4.212882669294254e-16
34.4507,77.5419,19,111.7,Mud_Brick,51.1,0.23,1.2,0.0,10.8,82398.44,0.0
34.4507,77.5419,20,111.7,Mud_Brick,51.1,0.23,1.2,0.0,9.594095225512604,82398.44,0.0
34.4507,77.5419,21,111.7,Mud_Brick,51.1,0.23,1.2,0.0,8.3,82398.44,0.0
34.4507,77.5419,22,111.7,Mud_Brick,51.1,0.23,1.2,0.0,7.005904774487396,82398.44,0.0
34.4507,77.5419,23,111.7,Mud_Brick,51.1,0.23,1.2,0.0,5.800000000000002,82398.44,0.0
34.232,77.8729,0,276.6,Mud_Brick,59.9,0.15,1.93,0.0,-23.535533905932738,238384.64,0.0
34.232,77.8729,1,276.6,Mud_Brick,59.9,0.15,1.93,0.0,-24.33012701892219,238384.64,0.0
34.232,77.8729,2,276.6,Mud_Brick,59.9,0.15,1.93,0.0,-24.829629131445344,238384.64,0.0
34.232,77.8729,3,276.6,Mud_Brick,59.9,0.15,1.93,0.0,-25.0,238384.64,0.0
34.232,77.8729,4,276.6,Mud_Brick,59.9,0.15,1.93,0.0,-24.82962913144534,238384.64,0.0
34.232,77.8729,5,276.6,Mud_Brick,59.9,0.15,1.93,0.0,-24.330127018922195,238384.64,0.0
34.232,77.8729,6,276.6,Mud_Brick,59.9,0.15,1.93,3.8392677153269526e-14,-23.535533905932738,238384.64,1.0682148536321881e-15
34.232,77.8729,7,276.6,Mud_Brick,59.9,0.15,1.93,162.2795412792805,-22.5,238384.64,4.515168758435561
34.232,77.8729,8,276.6,Mud_Brick,59.9,0.15,1.93,313.50000000000006,-21.294095225512603,238384.64,8.722636227652913
34.232,77.8729,9,276.6,Mud_Brick,59.9,0.15,1.93,443.35595180396535,-20.0,238384.64,12.33567045279364
34.232,77.8729,10,276.6,Mud_Brick,59.9,0.15,1.93,542.9979281728431,-18.705904774487397,238384.64,15.108049122235771
34.232,77.8729,11,276.6,Mud_Brick,59.9,0.15,1.93,605.6354930832458,-17.5,238384.64,16.8508392112292
34.232,77.8729,12,276.6,Mud_Brick,59.9,0.15,1.93,627.0,-16.464466094067262,238384.64,17.445272455305822
34.232,77.8729,13,276.6,Mud_Brick,59.9,0.15,1.93,605.6354930832458,-15.669872981077805,238384.64,16.8508392112292
34.232,77.8729,14,276.6,Mud_Brick,59.9,0.15,1.93,542.9979281728431,-15.17037086855466,238384.64,15.108049122235771
34.232,77.8729,15,276.6,Mud_Brick,59.9,0.15,1.93,443.35595180396535,-15.0,238384.64,12.33567045279364
34.232,77.8729,16,276.6,Mud_Brick,59.9,0.15,1.93,313.50000000000006,-15.17037086855466,238384.64,8.722636227652913
34.232,77.8729,17,276.6,Mud_Brick,59.9,0.15,1.93,162.2795412792805,-15.669872981077805,238384.64,4.515168758435561
34.232,77.8729,18,276.6,Mud_Brick,59.9,0.15,1.93,3.8392677153269526e-14,-16.464466094067262,238384.64,1.0682148536321881e-15
34.232,77.8729,19,276.6,Mud_Brick,59.9,0.15,1.93,0.0,-17.5,238384.64,0.0
34.232,77.8729,20,276.6,Mud_Brick,59.9,0.15,1.93,0.0,-18.705904774487397,238384.64,0.0
34.232,77.8729,21,276.6,Mud_Brick,59.9,0.15,1.93,0.0,-20.0,238384.64,0.0
34.232,77.8729,22,276.6,Mud_Brick,59.9,0.15,1.93,0.0,-21.294095225512603,238384.64,0.0
